floor_number,no_of_flats,flat_area_sft,no_of_rooms,sand_tons,cement_tons,no_of_bricks,labour_count,labour_hours
4,1,818,6,24.38,15.8,4381,8,48
7,4,660,1,15.5,15.29,3936,6,72
10,2,1270,4,32.85,19.33,6516,12,108
2,2,1448,2,39.39,32.9,8184,14,140
8,2,1993,6,55.0,47.21,12580,19,209
8,4,316,3,7.69,6.25,1963,3,30
9,4,1429,4,28.31,34.64,9428,14,84
9,4,1488,4,40.02,19.28,8628,14,126
7,3,842,6,16.35,15.75,5469,8,72
6,2,1513,4,39.14,29.43,8327,15,135
9,1,1131,6,21.95,25.32,7400,11,66
2,4,1180,6,24.72,25.83,7292,11,66
1,3,1298,2,34.74,20.55,6874,12,72
9,1,711,3,18.45,15.26,4000,7,84
7,3,1138,4,31.82,19.27,7812,11,88
2,1,1536,5,35.01,26.25,8555,15,180
0,4,374,4,7.61,9.25,2604,3,24
4,2,446,1,8.88,5.35,2885,4,44
1,4,1269,3,35.22,20.28,7311,12,72
9,2,965,2,23.42,18.01,5070,9,54
6,3,1436,5,35.81,21.12,9592,14,140
1,2,984,2,27.27,15.05,5281,9,72
7,1,680,1,17.76,15.41,4010,6,42
5,2,1416,6,29.55,24.85,9598,14,140
7,4,1513,1,42.63,18.49,9390,15,105
10,2,318,5,8.02,6.18,1912,3,33
2,3,428,4,11.32,8.59,2367,4,32
9,2,1031,2,27.68,17.96,5842,10,110
10,1,493,5,10.73,7.34,2871,4,28
7,4,947,2,20.43,14.53,6314,9,108
1,2,1031,2,27.38,19.53,6283,10,90
10,3,1956,2,39.73,26.5,12968,19,228
9,2,1481,6,29.18,30.97,9676,14,154
7,4,426,5,11.74,8.44,2846,4,32
0,4,805,3,15.43,9.96,4842,8,64
1,3,1047,6,22.03,20.16,5344,10,70
8,4,426,6,9.83,9.0,2204,4,40
1,2,441,5,9.38,8.08,2562,4,28
9,1,898,5,26.03,16.0,6092,8,56
4,2,697,4,20.64,9.5,4046,6,66
6,2,427,2,9.54,9.64,2917,4,48
6,2,1677,3,31.32,40.68,11329,16,176
8,2,1994,3,53.27,48.94,10234,19,171
4,3,765,5,22.1,13.2,4696,7,70
7,4,920,3,18.85,12.1,4905,9,72
7,3,1079,1,26.57,13.24,6727,10,110
7,4,646,2,13.83,10.33,4037,6,60
8,1,1798,1,49.09,25.02,9051,17,204
8,3,685,4,14.1,16.98,4292,6,48
0,2,1872,1,43.39,40.06,11907,18,216
3,2,1228,5,23.65,21.38,7092,12,108
6,4,463,3,11.49,7.03,2683,4,40
8,4,1366,6,38.08,33.34,8688,13,117
3,1,619,5,13.12,10.39,4206,6,72
6,1,1621,2,34.49,21.46,8517,16,128
6,1,635,3,16.01,10.77,3854,6,54
6,3,319,1,7.61,6.1,1631,3,30
0,1,1755,2,32.09,25.27,10738,17,187
8,2,702,2,18.08,15.72,4664,7,77
10,4,1741,1,37.76,40.63,11107,17,187
0,2,1865,1,36.54,32.34,11550,18,108
10,2,1828,2,35.58,43.99,11821,18,216
2,3,671,6,16.2,15.63,4316,6,54
3,2,592,2,17.46,14.55,4117,5,55
5,1,1205,3,28.35,23.12,6668,12,144
9,3,432,2,11.8,6.68,2641,4,40
7,4,405,3,10.88,6.1,2365,4,40
6,4,1251,5,23.43,21.75,8575,12,108
1,1,1745,3,41.21,29.55,9205,17,119
1,3,1864,4,48.61,24.86,12655,18,144
2,4,1914,4,42.44,27.97,11072,19,171
7,2,1568,6,34.3,24.61,9332,15,120
5,4,1357,6,26.65,22.07,9289,13,91
7,4,555,5,15.06,11.36,2861,5,50
10,4,1296,1,23.58,29.15,7188,12,96
5,4,901,6,26.95,18.93,4908,9,81
7,4,536,1,11.87,8.41,2739,5,50
7,2,936,2,18.67,13.43,6430,9,90
6,1,1671,5,32.56,29.72,9178,16,128
3,1,1569,1,41.96,19.85,9102,15,90
8,2,1176,5,22.85,17.94,7347,11,99
1,2,1863,4,38.34,35.52,11138,18,126
4,1,1849,6,50.72,41.15,10348,18,126
2,3,312,3,5.75,6.91,1919,3,18
3,1,1835,5,54.01,37.34,9466,18,162
9,4,1696,6,47.82,41.08,11745,16,176
1,4,821,2,24.04,16.94,4784,8,64
4,3,531,1,10.24,12.46,2722,5,55
1,2,1668,2,35.41,20.9,10026,16,128
2,4,1678,4,35.19,40.28,9443,16,112
4,4,956,3,25.02,23.34,6049,9,90
7,4,1593,6,42.63,31.23,8739,15,105
8,4,1173,3,23.53,28.84,7419,11,88
10,2,617,3,13.41,14.34,3975,6,48
3,4,1288,4,28.78,22.37,8913,12,144
1,1,590,4,12.23,9.65,3818,5,30
7,1,606,3,14.43,10.18,3608,6,72
10,1,1732,4,49.35,31.67,9300,17,102
4,4,1966,3,53.22,45.32,13144,19,114
10,3,1818,5,46.57,25.13,12001,18,198
7,2,551,5,11.7,9.0,3520,5,40
4,2,478,4,8.93,8.4,3146,4,28
6,4,1171,1,30.64,22.76,7072,11,121
7,2,1897,5,42.84,40.34,11512,18,144
3,1,338,3,7.16,4.33,2244,3,33
7,1,851,1,18.02,16.44,4537,8,56
4,1,1647,4,46.35,29.07,9619,16,192
6,3,391,4,8.28,5.51,2367,3,36
6,4,712,5,12.91,10.43,3707,7,84
7,3,1387,6,32.57,17.5,8190,13,117
7,3,1405,2,41.76,20.6,8944,14,84
2,4,1345,3,39.6,18.8,7875,13,104
8,2,1506,5,36.24,31.53,9415,15,135
1,1,719,5,16.03,11.17,4007,7,56
4,1,1123,6,22.7,27.27,7853,11,121
8,1,1913,5,54.23,24.74,12463,19,228
8,4,1523,4,36.13,31.65,9915,15,150
7,2,1184,1,26.48,26.08,5924,11,77
5,2,1030,5,30.17,25.03,6414,10,100
5,2,962,5,18.02,11.87,6393,9,90
6,2,474,5,8.77,10.31,2912,4,44
10,4,797,2,21.32,19.13,4606,7,56
9,2,1226,2,33.83,19.77,6353,12,84
8,1,322,4,6.16,6.36,1932,3,33
7,2,314,1,7.92,7.14,1984,3,36
1,2,788,3,19.22,11.01,5515,7,63
1,3,1640,3,43.31,26.48,9306,16,176
2,3,881,5,23.92,21.81,5492,8,72
1,1,1574,4,40.3,31.34,10390,15,105
1,2,1369,4,33.56,30.75,7036,13,143
1,2,1456,3,38.83,26.93,8213,14,154
7,1,595,5,15.53,14.78,2984,5,35
4,1,1370,2,32.84,23.25,8524,13,78
6,3,909,2,18.61,16.51,4589,9,54
0,1,1118,2,28.43,27.26,7378,11,132
3,1,831,1,15.09,19.62,5656,8,48
6,2,744,1,15.9,16.79,4459,7,42
0,1,1131,3,33.08,14.67,7050,11,132
1,3,1450,6,32.29,34.19,8755,14,126
7,3,1101,2,20.84,26.8,6771,11,88
2,2,1787,4,34.92,23.88,8966,17,153
1,4,985,3,20.38,15.61,5161,9,99
2,4,761,2,19.58,15.53,4081,7,63
10,4,719,3,15.76,13.89,4774,7,84
6,2,1058,6,28.04,24.73,5728,10,120
2,2,1236,6,29.04,28.86,8303,12,108
6,4,1145,1,33.35,25.19,7021,11,99
5,3,1026,6,27.48,24.58,6306,10,110
10,3,846,3,21.08,18.27,4347,8,72
4,2,909,5,18.99,16.58,5550,9,90
8,4,1158,1,20.93,14.75,7915,11,110
4,2,1269,1,34.48,25.08,6443,12,120
7,1,734,1,19.75,13.21,5001,7,70
5,1,611,1,14.81,7.71,3997,6,66
10,4,898,4,26.15,21.67,6221,8,80
8,2,1137,5,25.39,21.54,5771,11,66
5,1,824,2,20.97,17.93,5401,8,80
8,1,1636,5,37.89,31.93,9716,16,192
0,3,913,4,27.29,18.46,4947,9,54
7,4,672,1,19.71,13.85,3423,6,72
2,2,1726,4,46.35,33.42,8788,17,204
9,3,761,4,17.88,13.55,5198,7,70
3,1,890,6,19.65,11.51,5716,8,80
3,4,1427,3,35.97,32.74,8359,14,84
5,3,585,3,11.03,10.92,3683,5,50
0,3,1018,1,24.33,18.96,5624,10,100
9,3,1641,6,29.97,35.39,11337,16,96
8,1,892,5,23.89,19.65,5402,8,88
3,3,391,2,9.03,6.49,2644,3,36
7,1,957,5,22.38,11.54,6065,9,99
7,4,1298,5,25.08,24.55,7918,12,84
0,3,1198,3,35.42,18.58,6037,11,77
1,4,1498,5,44.83,37.37,7720,14,154
3,2,703,5,20.24,12.11,3633,7,49
10,3,734,2,18.54,17.97,5053,7,77
9,2,1371,6,37.44,33.8,8022,13,104
3,2,1417,3,42.34,19.99,7931,14,154
9,3,518,5,12.21,8.46,3051,5,50
8,2,1362,3,27.88,30.84,7360,13,156
1,3,551,2,10.57,11.59,3052,5,60
10,4,1408,6,35.6,17.67,8292,14,168
6,4,839,1,23.6,10.17,4832,8,64
3,3,1874,4,48.93,28.52,9610,18,108
8,2,782,2,20.08,10.1,4100,7,56
0,2,1875,3,49.07,43.7,10948,18,108
10,1,908,1,20.81,15.13,5993,9,108
5,4,1331,5,28.3,17.48,7579,13,156
7,3,1281,2,28.35,24.71,7575,12,132
10,3,1321,4,31.38,17.19,8747,13,156
3,3,846,4,19.89,16.24,4627,8,48
1,4,1007,4,28.74,16.91,5160,10,110
4,3,709,4,19.83,16.22,3928,7,84
10,4,501,2,9.47,12.41,3363,5,50
6,2,1140,1,28.28,15.57,7791,11,77
10,4,1598,5,45.68,39.77,8110,15,165
5,1,835,4,18.37,17.88,5478,8,88
7,3,1700,1,35.96,23.15,9547,17,136
0,1,1679,6,43.53,35.09,10702,16,128
9,3,1857,5,52.44,24.02,11325,18,162
1,4,954,1,21.77,14.58,6416,9,90
5,3,1789,3,52.21,35.71,11652,17,153
2,1,1822,6,53.53,34.05,12183,18,216
7,3,1432,3,42.85,35.11,8048,14,98
0,3,1799,6,51.03,37.57,9837,17,204
9,3,522,5,9.48,9.59,2738,5,45
7,2,309,5,6.89,7.65,1783,3,27
2,2,1561,6,31.47,20.49,8915,15,105
4,1,470,4,10.01,9.71,2784,4,28
10,4,830,1,16.22,20.55,5638,8,96
4,1,1364,5,39.89,16.69,9209,13,143
6,3,1431,4,37.64,25.98,9679,14,126
10,4,943,1,22.07,13.87,5770,9,72
2,3,594,6,13.97,9.39,3508,5,40
6,3,1224,1,31.38,18.27,8201,12,132
7,4,1599,6,30.07,35.86,10428,15,165
7,2,1467,6,30.49,25.06,9734,14,140
9,1,1557,2,28.35,36.43,9359,15,150
6,2,1972,3,42.9,41.67,10773,19,228
5,4,1421,5,41.34,17.33,9217,14,98
1,2,1597,3,44.04,35.82,10694,15,180
4,1,1805,4,49.24,37.1,10402,18,198
10,3,992,5,21.57,14.59,6400,9,81
4,1,741,5,18.56,10.02,4142,7,56
4,2,599,5,14.97,9.26,3881,5,45
6,2,1511,4,28.96,35.82,9850,15,135
1,2,1556,4,28.82,29.87,10495,15,150
2,1,1190,4,31.84,25.24,7671,11,77
4,1,1080,3,24.7,19.63,7458,10,110
10,4,1432,6,25.98,25.3,7183,14,126
2,1,1243,6,35.81,21.68,7276,12,84
3,2,1890,5,38.99,41.46,9697,18,144
6,4,1068,4,31.37,22.97,5754,10,90
9,1,1912,1,49.68,35.46,12272,19,133
8,3,1449,3,28.13,30.36,8339,14,168
8,1,730,2,14.6,9.37,4066,7,56
4,2,1677,2,41.93,20.66,8897,16,112
6,1,938,3,19.39,17.63,4706,9,54
5,3,1876,6,50.33,33.45,11317,18,216
3,3,426,3,12.03,7.38,2486,4,24
4,4,1988,6,53.38,48.23,11984,19,209
8,2,770,2,17.68,14.61,4694,7,63
3,1,1031,2,26.48,13.69,6069,10,90
7,3,1186,4,23.75,24.92,8118,11,77
5,4,1712,4,32.08,26.42,11568,17,170
7,3,1939,3,36.04,29.71,13001,19,171
9,4,610,4,11.96,10.88,4207,6,60
7,4,547,6,12.31,10.52,3357,5,50
9,1,1455,2,35.69,17.52,8583,14,84
7,4,1647,5,32.69,22.24,9385,16,192
5,4,1427,1,28.37,34.12,7786,14,126
1,3,1648,1,43.94,33.89,9541,16,96
10,4,1210,4,24.4,27.46,6061,12,120
3,3,1923,4,56.87,37.1,13304,19,228
7,1,1786,5,42.47,23.03,10235,17,204
6,3,1442,1,30.87,32.86,8130,14,126
5,3,951,2,21.45,16.82,5508,9,99
1,3,1035,4,18.81,22.56,6460,10,100
0,4,1989,5,49.19,31.09,12474,19,171
4,2,1370,5,36.25,29.93,8749,13,104
0,1,1513,3,34.49,22.19,9980,15,165
9,3,1951,3,51.77,29.04,12302,19,228
1,4,1655,5,34.93,21.78,8560,16,144
6,1,1845,4,51.74,30.85,10811,18,126
1,2,1138,6,24.24,23.94,7009,11,99
2,1,1607,5,46.82,27.21,8204,16,160
3,2,1257,6,24.52,26.46,7225,12,72
4,2,494,3,10.84,8.75,2533,4,40
9,4,1696,3,37.65,21.22,9815,16,96
7,4,1187,5,32.62,16.32,6107,11,66
0,1,492,5,13.51,11.39,3353,4,36
5,4,1448,4,28.89,26.9,9672,14,84
8,1,1990,6,45.58,43.46,10099,19,114
9,4,556,5,12.83,11.51,3256,5,40
4,1,1777,5,46.17,43.09,12291,17,204
7,3,1864,4,53.23,23.88,9755,18,180
5,1,1075,5,25.82,24.26,5752,10,80
3,4,1352,5,37.16,30.27,8926,13,130
1,3,432,1,10.57,8.26,2981,4,48
5,2,1805,3,42.14,37.09,11626,18,180
0,4,1426,6,28.59,27.68,7885,14,154
8,1,1599,6,33.7,29.15,8866,15,120
7,1,1252,5,33.18,28.41,7399,12,132
3,3,1124,2,24.1,14.42,6023,11,132
8,2,1045,5,19.43,25.3,7255,10,100
8,2,978,1,26.7,23.8,6591,9,63
8,1,1107,4,29.64,25.35,7176,11,99
9,4,1911,4,52.26,29.77,12689,19,228
0,1,574,5,11.94,8.86,3941,5,35
0,4,1587,2,44.77,38.62,9550,15,165
7,1,1810,5,45.9,21.88,12315,18,162
7,3,432,5,12.29,10.74,2291,4,32
4,3,890,1,20.1,18.76,5960,8,72
7,4,1408,5,33.28,27.68,9785,14,84
3,2,1788,2,52.19,33.68,10939,17,170
5,1,338,1,6.49,5.67,2125,3,33
6,2,1686,3,35.77,33.09,10356,16,112
0,2,1173,3,29.44,18.89,6414,11,99
2,4,1759,3,51.66,31.36,11256,17,204
1,3,1233,6,33.36,24.23,6733,12,132
0,2,1383,4,27.22,23.62,8973,13,117
8,2,1538,2,40.11,33.3,10156,15,120
4,4,1772,6,52.51,43.99,9964,17,153
9,2,588,3,15.8,8.45,2997,5,40
9,1,1579,2,35.08,22.02,9945,15,150
0,2,1499,6,41.26,29.05,9155,14,84
2,3,1621,2,47.0,22.48,11298,16,160
4,4,1839,6,35.27,28.3,11332,18,162
7,4,1586,2,36.78,26.42,8933,15,180
5,1,1035,6,20.29,16.18,7028,10,80
4,2,1636,3,32.39,28.54,10641,16,112
2,1,766,5,16.44,9.61,4370,7,49
3,1,1633,5,36.73,40.46,10744,16,160
2,4,1609,2,35.15,32.89,9011,16,128
8,2,1402,6,36.1,22.9,7530,14,112
9,3,1235,6,32.2,24.82,7353,12,108
7,4,349,2,9.51,7.71,1941,3,36
1,1,1858,3,37.77,40.63,10470,18,144
8,1,758,4,15.14,18.46,4536,7,70
8,4,1444,3,31.14,31.36,9587,14,84
5,4,1442,6,39.09,27.74,9860,14,154
0,4,814,5,17.89,11.75,4900,8,72
5,3,884,2,17.6,16.83,5922,8,56
4,4,1833,2,53.72,37.19,11682,18,198
8,1,1257,2,30.11,21.08,7163,12,84
5,2,1510,3,30.31,29.32,8102,15,105
7,3,510,6,9.7,6.81,3471,5,30
3,3,539,1,12.29,7.88,2976,5,55
9,4,1182,2,33.32,24.15,6015,11,66
5,3,1894,3,37.03,35.81,11771,18,198
4,4,979,5,20.81,14.37,5442,9,63
10,4,1640,5,49.01,20.03,10287,16,176
0,2,636,4,14.02,10.63,3972,6,66
10,3,606,2,11.3,10.05,3824,6,72
1,3,630,3,14.4,11.13,3754,6,36
9,4,857,1,17.15,16.82,4910,8,96
8,1,1520,1,29.6,33.64,9363,15,150
7,3,597,4,15.16,8.06,3069,5,30
7,2,725,3,18.75,12.39,3963,7,42
9,1,550,2,15.5,10.14,3324,5,45
1,1,773,4,21.42,17.37,4212,7,56
7,2,517,5,9.57,10.94,3357,5,55
7,1,1285,1,31.03,21.92,7401,12,132
7,1,862,5,24.55,20.02,5385,8,80
1,3,1741,2,35.18,36.75,8807,17,153
10,2,1887,6,42.18,31.39,10172,18,216
1,1,1193,2,34.11,16.81,7913,11,110
10,1,1145,5,24.72,17.49,7954,11,77
6,3,1923,6,35.15,40.65,13276,19,228
2,1,723,1,21.47,13.85,3628,7,84
9,1,1489,6,28.81,25.42,8594,14,112
10,1,1442,3,32.95,19.97,8154,14,112
5,2,1359,1,35.58,27.19,7521,13,130
8,3,1113,3,27.37,14.72,6108,11,99
9,4,1958,2,46.75,44.81,12932,19,190
1,3,770,1,22.37,10.7,5030,7,77
4,3,1546,5,38.38,36.13,9230,15,180
6,4,651,6,12.53,14.56,3874,6,48
5,3,1853,4,52.1,22.38,11134,18,180
9,1,1227,4,25.23,24.39,6509,12,108
4,1,1355,2,25.93,21.19,8327,13,143
8,1,1126,3,31.62,27.42,7765,11,88
9,4,774,1,22.78,19.07,4627,7,42
10,4,1520,5,36.69,36.82,8141,15,120
1,4,1775,1,48.77,29.86,10253,17,102
5,1,983,3,23.64,15.62,5812,9,99
10,1,618,2,13.86,10.1,3511,6,60
0,1,1037,5,27.27,16.08,5313,10,70
8,1,1831,1,38.6,39.25,9554,18,216
0,4,1547,6,42.54,38.41,9552,15,165
6,2,954,5,20.6,21.5,4831,9,72
0,2,808,4,16.53,18.65,4322,8,48
8,1,1340,2,32.73,32.35,8763,13,130
8,3,1124,6,29.53,18.31,6562,11,88
10,4,1835,2,34.34,38.56,11583,18,126
6,3,1361,1,24.69,27.69,7492,13,143
9,1,1132,5,31.91,21.7,7245,11,66
6,3,1634,1,31.03,39.32,11372,16,176
3,2,508,5,11.97,12.26,2770,5,60
10,4,1343,5,28.07,24.55,7902,13,78
4,2,1016,6,29.04,20.83,6234,10,80
2,1,787,1,18.11,15.66,4509,7,70
4,3,1528,4,33.1,31.08,7986,15,120
1,4,747,4,16.71,17.08,5025,7,70
5,3,788,3,17.37,11.28,4182,7,77
1,2,900,5,17.84,12.82,5257,9,63
8,2,670,5,12.53,12.85,3976,6,42
5,2,1643,5,34.62,21.97,8988,16,144
1,4,1414,3,31.58,25.98,8040,14,126
10,2,1438,3,34.07,22.32,7796,14,168
1,4,872,4,21.3,14.99,4477,8,64
3,4,343,6,8.19,7.27,2339,3,30
8,1,1565,1,36.94,19.77,10251,15,165
3,1,1049,6,26.03,24.21,6552,10,120
10,4,312,3,7.14,7.37,1601,3,30
3,2,1870,4,44.98,40.57,11962,18,108
1,1,1780,6,52.22,38.53,12249,17,136
1,4,1092,5,30.04,22.52,5997,10,110
7,4,789,1,23.28,15.29,4639,7,70
2,1,1331,2,39.47,17.46,7738,13,130
8,4,915,3,25.35,15.09,5531,9,99
7,4,738,5,16.28,13.99,4813,7,63
2,4,1226,5,27.14,15.41,6916,12,96
8,1,1617,3,33.34,22.82,9164,16,128
9,4,1660,3,45.03,38.4,11042,16,144
6,4,388,3,7.84,8.72,2064,3,24
5,1,650,6,13.42,15.77,4255,6,66
2,3,362,2,10.69,8.95,2516,3,36
8,4,1474,5,35.09,23.92,10109,14,98
8,4,1442,4,34.49,30.14,7943,14,140
1,4,1499,4,37.0,31.59,7540,14,112
10,3,505,1,14.95,10.23,3064,5,60
4,2,1037,6,20.96,16.19,5837,10,60
7,3,1361,5,26.71,27.13,8522,13,104
9,3,603,1,12.89,10.31,3998,6,60
7,3,1593,5,30.63,35.45,9380,15,135
6,4,936,6,17.27,16.64,4737,9,63
2,3,1907,5,53.87,32.06,12698,19,133
8,2,1353,3,34.97,24.78,7146,13,104
7,3,1061,1,27.22,20.01,6469,10,80
9,4,1972,6,43.55,39.25,11006,19,209
1,4,1717,5,49.59,22.2,10205,17,153
7,4,1304,1,37.86,21.22,8966,13,91
0,1,1082,1,27.73,19.98,6808,10,120
4,3,822,3,23.44,10.8,5532,8,88
7,1,749,1,15.3,16.07,4509,7,49
3,1,518,3,12.77,7.92,3483,5,30
1,2,428,2,9.14,8.21,2892,4,28
2,4,857,5,24.73,19.47,4845,8,64
1,3,766,5,18.6,11.89,4008,7,56
10,1,1226,3,26.02,22.69,6404,12,84
7,4,775,4,22.97,15.65,4480,7,70
2,3,359,6,9.09,7.17,2487,3,36
4,2,855,6,22.38,11.03,4882,8,96
9,1,821,2,24.3,9.93,4204,8,88
0,4,684,5,18.21,11.91,4422,6,60
8,3,1203,3,29.96,15.8,6962,12,144
6,1,816,1,22.84,11.8,4612,8,88
4,1,1960,4,55.64,24.04,13688,19,133
5,4,907,5,24.99,22.36,5431,9,63
1,1,1155,5,33.31,21.8,6261,11,99
7,2,1504,4,43.27,36.79,8153,15,120
1,2,1592,4,29.65,32.14,8891,15,135
3,1,1217,1,23.43,29.72,6882,12,132
2,4,1002,4,26.1,19.34,5477,10,110
3,3,448,4,12.07,9.36,2905,4,44
0,3,381,3,10.16,9.04,2182,3,30
4,4,1103,6,32.11,15.3,6486,11,77
1,2,1736,3,32.24,26.01,11215,17,153
5,2,1212,2,36.22,18.11,7430,12,108
8,3,404,2,11.85,9.53,2165,4,28
5,3,1944,6,41.1,38.74,10437,19,190
6,4,1750,3,32.23,34.8,9434,17,204
4,3,741,6,17.16,15.54,5140,7,84
5,2,620,4,14.3,15.42,3352,6,60
5,4,1698,5,37.72,22.09,10699,16,112
7,1,864,6,20.77,14.52,4649,8,96
3,3,753,6,21.89,12.76,5065,7,42
3,3,1715,5,48.73,37.47,10738,17,170
4,3,1310,4,33.94,21.17,9044,13,143
9,4,1991,3,51.81,44.74,12436,19,228
9,1,1893,1,35.82,24.52,9853,18,144
0,3,650,5,14.32,12.52,4013,6,66
0,2,507,1,11.79,6.55,2575,5,45
7,1,1447,4,31.21,25.03,8030,14,154
10,2,1211,2,32.53,23.2,6202,12,120
3,1,1158,2,24.04,19.54,7245,11,99
0,2,615,2,14.4,9.56,3264,6,72
1,4,1433,6,28.93,25.92,9853,14,168
0,3,1723,1,48.37,22.45,10904,17,204
3,2,1025,6,22.34,14.33,5544,10,110
8,2,397,5,8.33,7.97,2139,3,24
6,2,653,4,18.57,9.04,3278,6,36
1,4,871,2,19.46,11.58,5558,8,72
3,2,1869,2,53.5,27.59,11123,18,108
7,4,632,6,18.72,11.84,4022,6,72
9,3,1927,4,35.13,26.55,12791,19,209
4,1,1449,6,31.21,33.0,8529,14,168
1,1,375,2,8.75,8.09,2293,3,30
6,4,1683,4,41.3,41.97,8820,16,128
9,1,557,3,15.35,10.61,3612,5,50
6,4,980,2,25.22,23.25,5825,9,81
3,1,1214,2,32.25,21.71,7200,12,144
5,4,1600,2,30.84,39.18,10770,16,176
9,1,1864,2,35.21,27.79,11402,18,216
0,4,1464,2,40.69,26.85,10135,14,154
2,2,636,2,13.95,10.12,4327,6,66
3,4,1645,2,44.54,34.09,10252,16,112
6,4,1457,1,36.73,24.81,8942,14,98
3,1,672,3,20.07,10.81,4296,6,60
4,3,1506,4,35.39,29.58,9139,15,180
4,4,518,6,14.6,9.56,3364,5,50
10,3,1864,5,41.66,32.69,11742,18,180
3,1,1516,5,36.45,33.01,9248,15,120
5,1,1660,4,44.71,21.19,8968,16,176
5,4,1696,2,39.23,41.0,9435,16,176
0,3,1739,5,38.4,43.29,9009,17,204
9,3,1231,2,36.73,25.74,7537,12,108
0,3,1571,4,29.14,21.7,9261,15,135
9,4,1238,5,33.19,29.88,7666,12,108
7,2,549,3,13.5,7.7,3612,5,60
9,3,1983,4,36.65,41.09,9985,19,133
0,4,988,1,21.52,23.38,6531,9,63
4,1,1835,5,50.02,30.38,10561,18,162
3,4,808,5,17.7,14.22,4110,8,88
3,4,615,3,14.12,10.56,3421,6,36
9,1,523,6,10.09,6.61,3612,5,50
2,1,519,4,11.96,7.85,3372,5,55
9,4,366,4,8.64,5.05,2169,3,33
5,1,1284,6,24.19,25.71,8108,12,84
5,4,519,2,10.19,11.65,3612,5,50
7,3,812,2,20.97,19.0,4103,8,64
6,4,920,1,25.92,22.46,5790,9,72
10,2,380,3,7.01,5.9,2054,3,18
7,2,1810,1,33.06,30.98,10222,18,162
8,4,1482,4,40.61,23.17,9656,14,126
4,2,1577,5,33.4,23.13,8124,15,165
9,4,1158,6,28.31,22.43,7527,11,77
0,4,810,6,22.76,18.48,5491,8,48
7,2,877,5,19.19,19.22,5118,8,64
8,3,1631,5,40.99,33.12,10471,16,160
7,3,1510,5,31.16,24.9,9953,15,105
7,1,1759,5,39.55,25.47,9061,17,153
5,1,896,2,26.63,20.56,5446,8,72
6,1,1596,1,47.49,35.88,8264,15,105
3,1,675,3,16.29,9.46,4642,6,72
8,1,733,6,20.83,9.22,4715,7,49
5,4,988,2,19.93,23.88,5557,9,72
8,2,542,3,15.52,13.31,3485,5,50
3,1,525,1,12.53,8.91,3433,5,30
4,3,1997,1,53.58,38.17,11040,19,209
1,2,1970,3,53.0,34.67,12057,19,114
0,1,995,4,20.73,15.4,5893,9,54
10,1,929,2,22.44,18.31,5990,9,99
4,3,1126,2,24.58,18.39,5834,11,132
1,1,551,4,15.54,10.92,3400,5,35
0,4,1280,1,28.43,23.5,8712,12,84
9,4,1066,2,21.99,23.89,6036,10,80
7,2,612,5,13.26,7.57,4265,6,66
8,3,1000,2,29.43,19.67,6401,10,120
10,2,763,5,19.35,14.1,4089,7,63
9,4,401,4,11.96,8.52,2629,4,36
9,1,1418,4,29.63,29.1,9113,14,140
10,1,1763,4,44.58,36.7,9025,17,170
3,4,1808,3,52.35,34.86,11286,18,108
10,2,971,3,22.12,16.75,5522,9,63
2,4,1000,2,26.62,19.96,6328,10,90
8,4,426,1,7.91,6.02,2936,4,36
10,2,1571,5,42.2,32.97,10208,15,150
9,4,1886,1,40.36,35.3,11595,18,180
6,2,566,4,13.33,13.88,3891,5,60
5,3,1034,1,30.92,19.73,5570,10,80
8,3,305,2,6.94,4.16,1889,3,24
5,3,936,3,22.27,21.35,5675,9,90
7,1,1482,2,44.23,32.06,8957,14,140
1,2,1655,1,31.78,31.47,10129,16,160
5,2,1974,2,49.79,47.3,13502,19,228
2,3,1197,6,29.32,25.92,7978,11,88
0,3,1652,6,32.33,39.14,11218,16,96
8,1,401,1,7.4,8.41,2791,4,24
7,3,525,2,12.18,11.41,2634,5,50
1,1,757,1,14.89,9.54,4795,7,49
9,3,1954,6,52.27,42.57,10765,19,228
2,2,1130,5,25.58,14.08,6521,11,110
6,2,1589,1,38.34,36.99,8756,15,165
5,3,1875,3,51.34,22.8,12741,18,198
7,1,1049,3,18.94,14.13,5598,10,100
9,4,1460,1,28.2,26.83,8545,14,84
5,4,777,1,16.56,16.12,4910,7,49
3,1,1058,2,21.72,17.71,6729,10,80
3,2,603,1,14.86,12.52,3238,6,54
4,2,1517,1,41.75,19.23,7606,15,180
1,1,567,5,12.04,7.2,2946,5,55
7,2,755,3,22.54,11.62,4868,7,63
10,3,635,4,15.62,13.87,3922,6,72
0,2,1126,5,21.42,25.26,6222,11,77
8,2,1492,1,37.45,29.71,8977,14,84
4,1,1520,5,39.21,19.56,10623,15,90
10,1,538,3,13.59,12.97,3466,5,45
0,4,910,6,19.34,22.16,5765,9,72
7,2,477,4,12.45,7.06,3140,4,24
4,3,1049,1,23.33,21.33,5895,10,110
10,2,333,2,7.11,5.82,2276,3,21
8,3,1489,3,29.38,24.45,10233,14,154
9,2,1874,3,55.66,39.41,12313,18,180
0,3,613,6,15.72,11.6,3936,6,48
3,2,1604,5,39.85,23.16,10928,16,144
8,1,1282,4,25.15,19.97,6690,12,96
6,2,685,2,20.46,12.84,4592,6,66
4,3,1931,5,39.84,31.38,11341,19,209
9,4,1066,5,28.36,14.88,6073,10,70
